group_name,member_country
global,ad
global,ae
global,af
global,ag
global,ai
global,al
global,am
global,ao
global,aq
global,ar
global,as
global,at
global,au
global,aw
global,ax
global,az
global,ba
global,bb
global,bd
global,be
global,bf
global,bg
global,bh
global,bi
global,bj
global,bl
global,bm
global,bn
global,bo
global,bq
global,br
global,bs
global,bt
global,bv
global,bw
global,by
global,bz
global,ca
global,cc
global,cd
global,cf
global,cg
global,ch
global,ci
global,ck
global,cl
global,cm
global,cn
global,co
global,cr
global,cu
global,cv
global,cw
global,cx
global,cy
global,cz
global,de
global,dj
global,dk
global,dm
global,do
global,dz
global,ec
global,ee
global,eg
global,eh
global,er
global,es
global,et
global,fi
global,fj
global,fk
global,fm
global,fo
global,fr
global,ga
global,gb
global,gd
global,ge
global,gf
global,gg
global,gh
global,gi
global,gl
global,gm
global,gn
global,gp
global,gq
global,gr
global,gs
global,gt
global,gu
global,gw
global,gy
global,hk
global,hm
global,hn
global,hr
global,ht
global,hu
global,id
global,ie
global,il
global,im
global,in
global,io
global,iq
global,ir
global,is
global,it
global,je
global,jm
global,jo
global,jp
global,ke
global,kg
global,kh
global,ki
global,km
global,kn
global,kp
global,kr
global,kw
global,ky
global,kz
global,la
global,lb
global,lc
global,li
global,lk
global,lr
global,ls
global,lt
global,lu
global,lv
global,ly
global,ma
global,mc
global,md
global,me
global,mf
global,mg
global,mh
global,mk
global,ml
global,mm
global,mn
global,mo
global,mp
global,mq
global,mr
global,ms
global,mt
global,mu
global,mv
global,mw
global,mx
global,my
global,mz
global,na
global,nc
global,ne
global,nf
global,ng
global,ni
global,nl
global,no
global,np
global,nr
global,nu
global,nz
global,om
global,pa
global,pe
global,pf
global,pg
global,ph
global,pk
global,pl
global,pm
global,pn
global,pr
global,ps
global,pt
global,pw
global,py
global,qa
global,re
global,ro
global,rs
global,ru
global,rw
global,sa
global,sb
global,sc
global,sd
global,se
global,sg
global,sh
global,si
global,sj
global,sk
global,sl
global,sm
global,sn
global,so
global,sr
global,ss
global,st
global,sv
global,sx
global,sy
global,sz
global,tc
global,td
global,tf
global,tg
global,th
global,tj
global,tk
global,tl
global,tm
global,tn
global,to
global,tr
global,tt
global,tv
global,tw
global,tz
global,ua
global,ug
global,um
global,us
global,uy
global,uz
global,va
global,vc
global,ve
global,vg
global,vi
global,vn
global,vu
global,wf
global,ws
global,ye
global,yt
global,za
global,zm
global,zw
mena,dz
mena,bh
mena,eg
mena,iq
mena,jo
mena,kw
mena,lb
mena,ly
mena,ma
mena,om
mena,ps
mena,qa
mena,sa
mena,sy
mena,tn
mena,ae
mena,ye
